season,player,sign_team,position,sign_age,sign_date,level,sign_status,structure,tracker_confirmed,window_class,played_for_club,one_year_state,one_year_team,back_on_pto,notes
2018-19,Luca Sbisa,NYI,D,28,2018-09-24,STD,UFA,1-Way,,convert,yes,,,,
2018-19,Mark Letestu,CBJ,C,33,2018-09-27,STD,UFA,2-Way,,convert,yes,,,,
2018-19,Alex Chiasson,EDM,RW,27,2018-10-02,STD,UFA,1-Way,,convert,yes,,,,known EDM tryout convert
2018-19,Drew Stafford,NJD,RW,32,2018-10-05,STD,UFA,1-Way,,convert,yes,,,,
2019-20,Alexander Petrovic,BOS,D,27,2019-09-26,STD,UFA,2-Way,,convert,no,,,,
2019-20,Scott Sabourin,OTT,RW,27,2019-09-27,STD,UFA,2-Way,,convert,yes,,,,
2019-20,Tobias Rieder,CGY,C,26,2019-09-28,STD,UFA No QO,2-Way,,convert,yes,,,,
2019-20,Zac Rinaldo,CGY,C,29,2019-09-29,STD,UFA,2-Way,,convert,yes,,,,
2019-20,Micheal Haley,NYR,C,33,2019-09-30,STD,UFA,2-Way,,convert,yes,,,,
2019-20,Joe Morrow,NJD,D,26,2019-10-06,STD,UFA No QO,2-Way,,late,no,,,,
2019-20,Patrick Marleau,SJS,LW,40,2019-10-08,STD,UFA,1-Way,,late,yes,,,,
2019-20,Chris Stewart,PHI,RW,31,2019-10-15,STD,UFA,1-Way,,late,yes,,,,
2019-20,Brian Boyle,FLA,C,34,2019-10-20,STD,UFA,1-Way,,late,yes,,,,
2019-20,Luca Sbisa,ANA,D,29,2019-10-23,STD,UFA,1-Way,,late,no,,,,VERIFY sign GM Bob Murray=ANA but played 44 GP WPG that season
2021-22,Max McCormick,SEA,LW,29,2021-09-29,STD,UFA,2-Way,,convert,yes,,,,
2021-22,J-F Berube,CBJ,G,30,2021-09-30,STD,UFA,2-Way,yes,convert,yes,,,,HFBoards confirmed
2021-22,Alex Galchenyuk,ARI,C,27,2021-10-05,STD,UFA,1-Way,yes,convert,yes,,,,HFBoards confirmed
2021-22,Tyler Ennis,OTT,RW,32,2021-10-07,STD,UFA,1-Way,yes,convert,yes,,,,HFBoards confirmed
2021-22,Frederik Gauthier,NJD,C,26,2021-10-09,STD,UFA No QO,2-Way,yes,convert,yes,,,,HFBoards confirmed
