season,player,sign_team,position,sign_age,sign_date,level,sign_status,structure,tracker_confirmed,notes
2018-19,Luca Sbisa,NYI,D,28,2018-09-24,STD,UFA,1-Way,yes,THN 2018 tracker: PTO NYI
2018-19,Mark Letestu,CBJ,C,33,2018-09-27,STD,UFA,2-Way,no,"THN 2018 tracker has PTO with FLA, signed CBJ - cross-club; also fails roster test"
2018-19,Alex Chiasson,EDM,RW,27,2018-10-02,STD,UFA,1-Way,yes,known EDM tryout convert; established EDM tryout convert; 73GP 22G that season
2018-19,Drew Stafford,NJD,RW,32,2018-10-05,STD,UFA,1-Way,yes,THN 2018 tracker: PTO NJD
2019-20,Ben Hutton,LAK,D,26,2019-09-17,STD,UFA No QO,1-Way,unclear,ADDED by widened window; verify tryout status; UNRESOLVED - no tryout language found; NHL.com records straight FA signing LAK Sep 18
2019-20,Fredrik Claesson,CAR,D,26,2019-09-17,STD,UFA No QO,2-Way,yes,"ADDED by widened window; verify tryout status; HFBoards 2019 + NHL.com: invite CAR, signed 1yr 2-way Sep 17"
2019-20,Alexander Petrovic,BOS,D,27,2019-09-26,STD,UFA,2-Way,yes,"HFBoards 2019: invite BOS, signed 1yr 2-way"
2019-20,Scott Sabourin,OTT,RW,27,2019-09-27,STD,UFA,2-Way,yes,"HFBoards 2019: invite OTT, signed 1yr 2-way"
2019-20,Tobias Rieder,CGY,C,26,2019-09-28,STD,UFA No QO,2-Way,yes,"HFBoards 2019: invite CGY, signed 1yr 2-way"
2019-20,Zac Rinaldo,CGY,C,29,2019-09-29,STD,UFA,2-Way,yes,"HFBoards 2019: invite CGY, signed 1yr 2-way"
2019-20,Micheal Haley,NYR,C,33,2019-09-30,STD,UFA,2-Way,yes,"HFBoards 2019: invite NYR, signed 1yr 2-way"
2020-21,Riley Sheahan,BUF,C,29,2021-01-08,STD,UFA,1-Way,yes,PTO BUF; NHL.com tracker confirms signing
2020-21,Michael Del Zotto,CBJ,D,30,2021-01-10,STD,UFA,2-Way,yes,PTO CBJ; tracker notes 1yr 2-way Jan 10
2020-21,Frederik Gauthier,ARI,C,25,2021-01-11,STD,UFA No QO,2-Way,yes,PTO ARI; tracker notes 1yr 2-way Jan 11
2020-21,Mike Hoffman,STL,LW,30,2021-01-11,STD,UFA,1-Way,yes,PTO STL; tracker notes 1yr Jan 11
2020-21,Travis Hamonic,VAN,D,30,2021-01-12,STD,UFA,1-Way,yes,PTO VAN
2020-21,Craig Anderson,WSH,G,39,2021-01-13,STD,UFA,1-Way,yes,PTO WSH; dedupe - appears twice in export
2020-21,Devin Shore,EDM,C,26,2021-01-13,STD,UFA No QO,2-Way,yes,PTO EDM
2020-21,Kevin Connauton,FLA,D,30,2021-01-13,STD,UFA,2-Way,yes,PTO FLA
2020-21,Trevor Lewis,WPG,C,34,2021-01-13,STD,UFA,1-Way,yes,PTO WPG
2020-21,Brett Ritchie,CGY,RW,27,2021-01-17,STD,UFA No QO,2-Way,yes,PTO CGY; check vs CGY opener
2020-21,Michael Stone,CGY,D,30,2021-01-18,STD,UFA,2-Way,yes,PTO CGY; check vs CGY opener
2021-22,Max McCormick,SEA,LW,29,2021-09-29,STD,UFA,2-Way,unclear,not on HFBoards 2021 confirmed list
2021-22,J-F Berube,CBJ,G,30,2021-09-30,STD,UFA,2-Way,yes,"HFBoards confirmed; HFBoards 2021: PTO CBJ, signed 1yr"
2021-22,Alex Galchenyuk,ARI,C,27,2021-10-05,STD,UFA,1-Way,yes,"HFBoards confirmed; HFBoards 2021: PTO ARI, signed 1yr"
2021-22,Tyler Ennis,OTT,RW,32,2021-10-07,STD,UFA,1-Way,yes,"HFBoards confirmed; HFBoards 2021: PTO OTT, signed 1yr"
2021-22,Frederik Gauthier,NJD,C,26,2021-10-09,STD,UFA No QO,2-Way,yes,"HFBoards confirmed; HFBoards 2021: PTO NJD, signed 1yr"
2021-22,James Neal,STL,LW,34,2021-10-09,STD,UFA,1-Way,yes,"HFBoards confirmed; repeat see 2022-23 CBJ tryout list; HFBoards 2021: PTO STL, signed 1yr"
2021-22,Jack Johnson,COL,D,34,2021-10-10,STD,UFA,1-Way,yes,"HFBoards confirmed; HFBoards 2021: PTO COL, signed 1yr"
2021-22,Jimmy Vesey,NJD,LW,28,2021-10-10,STD,UFA,1-Way,yes,"HFBoards confirmed; repeat see 2022-23 NYR; HFBoards 2021: PTO NJD, signed 1yr"
2021-22,Alex Chiasson,VAN,RW,31,2021-10-12,STD,UFA,1-Way,yes,repeat see 2018-19 EDM; Win Column names him a 2021-22 PTO success
2021-22,Brian Boyle,PIT,C,36,2021-10-12,STD,UFA,1-Way,yes,"HFBoards confirmed; repeat see 2019-20 FLA; HFBoards 2021: PTO PIT, signed 1yr"
2021-22,Colton Sceviour,EDM,C,32,2021-10-13,STD,UFA,2-Way,yes,"HFBoards confirmed; HFBoards 2021: PTO EDM, signed 1yr"
2022-23,Brett Ritchie,CGY,RW,29,2022-09-21,STD,UFA,1-Way,no,"ADDED by widened window; previously dropped as early-camp; verify; CONFIRMED NOT PTO - Flames re-signed him (Arctic Ice Hockey transactions, Sep 2022)"
2022-23,Cory Schneider,NYI,G,36,2022-09-21,STD,UFA,2-Way,no,"ADDED by widened window; previously dropped as early-camp; verify; CONFIRMED NOT PTO - re-signed, eve of camp; NHL.com lists as re-signed"
