season,convert,convert_survived,comparator_key,comparator_team,pos,age,age_gap,prior_gp,one_year_state,survived
2018-19,Luca Sbisa,no,savard d,CBJ,D,28,0,82,same_team,yes
2018-19,Luca Sbisa,no,josi r,NSH,D,28,0,82,same_team,yes
2018-19,Luca Sbisa,no,dillon b,SJS,D,28,0,82,same_team,yes
2018-19,Alex Chiasson,yes,foligno m,MIN,L,27,0,82,same_team,yes
2018-19,Alex Chiasson,yes,nelson b,NYI,C,27,0,82,same_team,yes
2018-19,Alex Chiasson,yes,oreilly r,STL,C,27,0,82,same_team,yes
2018-19,Drew Stafford,no,wheeler b,WPG,R,32,0,82,same_team,yes
2018-19,Drew Stafford,no,krejci d,BOS,C,32,0,81,same_team,yes
2018-19,Drew Stafford,no,ryan d,CGY,C,32,0,81,same_team,yes
2019-20,Ben Hutton,yes,brodin j,MIN,D,26,0,69,same_team,yes
2019-20,Ben Hutton,yes,edmundson j,CAR,D,26,0,68,moved,yes
2019-20,Ben Hutton,yes,mccabe j,BUF,D,26,0,66,same_team,yes
2019-20,Scott Sabourin,no,schwartz j,STL,L,27,0,71,same_team,yes
2019-20,Scott Sabourin,no,coyle c,BOS,C,27,0,70,same_team,yes
2019-20,Scott Sabourin,no,nieto m,COL,L,27,0,70,moved,yes
2019-20,Tobias Rieder,yes,danault p,MTL,C,26,0,71,same_team,yes
2019-20,Tobias Rieder,yes,scheifele m,WPG,C,26,0,71,same_team,yes
2019-20,Tobias Rieder,yes,gaudreau j,CGY,L,26,0,70,same_team,yes
2019-20,Micheal Haley,yes,wheeler b,WPG,R,33,0,71,same_team,yes
2019-20,Micheal Haley,yes,oshie t,WSH,R,33,0,69,same_team,yes
2019-20,Micheal Haley,yes,ryan d,CGY,C,33,0,68,same_team,yes
2020-21,Riley Sheahan,yes,cizikas c,NYI,C,29,0,56,same_team,yes
2020-21,Riley Sheahan,yes,nelson b,NYI,C,29,0,56,same_team,yes
2020-21,Riley Sheahan,yes,kane e,SJS,L,29,0,56,out,no
2020-21,Michael Del Zotto,yes,brodie t,TOR,D,30,0,56,same_team,yes
2020-21,Michael Del Zotto,yes,dillon b,WSH,D,30,0,56,moved,yes
2020-21,Michael Del Zotto,yes,myers t,VAN,D,30,0,55,same_team,yes
2020-21,Mike Hoffman,yes,kadri n,COL,C,30,0,56,same_team,yes
2020-21,Mike Hoffman,yes,tavares j,TOR,C,30,0,56,same_team,yes
2020-21,Mike Hoffman,yes,dowd n,WSH,C,30,0,56,same_team,yes
2020-21,Travis Hamonic,yes,gudas r,FLA,D,30,0,54,same_team,yes
2020-21,Travis Hamonic,yes,hedman v,TBL,D,30,0,54,same_team,yes
2020-21,Travis Hamonic,yes,jensen n,WSH,D,30,0,53,same_team,yes
2020-21,Devin Shore,yes,lindholm e,CGY,C,26,0,56,same_team,yes
2020-21,Devin Shore,yes,wennberg a,FLA,C,26,0,56,moved,yes
2020-21,Devin Shore,yes,vatrano f,FLA,R,26,0,56,same_team,yes
2020-21,Trevor Lewis,yes,oshie t,WSH,R,34,0,53,same_team,yes
2020-21,Trevor Lewis,yes,krejci d,BOS,C,34,0,51,out,no
2020-21,Trevor Lewis,yes,comeau b,DAL,L,34,0,51,same_team,yes
2021-22,Max McCormick,no,coyle c,BOS,C,29,0,82,same_team,yes
2021-22,Max McCormick,no,seguin t,DAL,C,29,0,81,same_team,yes
2021-22,Max McCormick,no,skinner j,BUF,L,29,0,80,same_team,yes
2021-22,Tyler Ennis,no,backlund m,CGY,C,32,0,82,same_team,yes
2021-22,Tyler Ennis,no,nyquist g,CBJ,R,32,0,82,same_team,yes
2021-22,Tyler Ennis,no,benn j,DAL,L,32,0,82,same_team,yes
2021-22,Frederik Gauthier,no,kampf d,TOR,C,26,0,82,same_team,yes
2021-22,Frederik Gauthier,no,moore t,LAK,L,26,0,81,same_team,yes
2021-22,Frederik Gauthier,no,barbashev i,STL,L,26,0,81,same_team,yes
2021-22,James Neal,no,kessel p,ARI,R,34,0,82,moved,yes
2021-22,James Neal,no,kopitar a,LAK,C,34,0,81,same_team,yes
2021-22,James Neal,no,zuccarello m,MIN,R,34,0,70,same_team,yes
2021-22,Jack Johnson,yes,letang k,PIT,D,34,0,78,same_team,yes
2021-22,Jack Johnson,yes,holden n,OTT,D,34,0,76,same_team,yes
2021-22,Jack Johnson,yes,vlasic m,SJS,D,34,0,75,same_team,yes
2021-22,Jimmy Vesey,yes,gaudreau j,CGY,L,28,0,82,moved,yes
2021-22,Jimmy Vesey,yes,rodrigues e,PIT,C,28,0,82,moved,yes
2021-22,Jimmy Vesey,yes,hertl t,SJS,C,28,0,82,same_team,yes
2021-22,Alex Chiasson,no,stamkos s,TBL,C,31,0,81,same_team,yes
2021-22,Alex Chiasson,no,tavares j,TOR,C,31,0,79,same_team,yes
2021-22,Alex Chiasson,no,eberle j,SEA,R,31,0,79,same_team,yes
2021-22,Brian Boyle,no,perry c,TBL,R,36,0,82,same_team,yes
2021-22,Brian Boyle,no,bellemare p,TBL,L,36,0,80,same_team,yes
2021-22,Brian Boyle,no,ovechkin a,WSH,L,36,0,77,same_team,yes
2021-22,Colton Sceviour,no,glendening l,DAL,C,32,0,82,same_team,yes
2021-22,Colton Sceviour,no,van riemsdyk j,PHI,L,32,0,82,same_team,yes
2021-22,Colton Sceviour,no,killorn a,TBL,L,32,0,82,same_team,yes
2022-23,Brett Ritchie,no,strome r,ANA,C,29,0,82,same_team,yes
2022-23,Brett Ritchie,no,nugenthopkins r,EDM,C,29,0,82,same_team,yes
2022-23,Brett Ritchie,no,danault p,LAK,C,29,0,82,same_team,yes
2022-23,Nikita Soshnikov,no,copp a,DET,C,28,0,82,same_team,yes
2022-23,Nikita Soshnikov,no,lomberg r,FLA,L,28,0,82,same_team,yes
2022-23,Nikita Soshnikov,no,kerfoot a,TOR,C,28,0,82,moved,yes
2022-23,Scott Harrington,no,hamilton d,NJD,D,29,0,82,same_team,yes
2022-23,Scott Harrington,no,murphy c,CHI,D,29,0,80,same_team,yes
2022-23,Scott Harrington,no,ceci c,EDM,D,29,0,80,same_team,yes
2022-23,Calvin de Haan,yes,fowler c,ANA,D,31,0,82,same_team,yes
2022-23,Calvin de Haan,yes,dumoulin b,PIT,D,31,0,82,moved,yes
2022-23,Calvin de Haan,yes,mcnabb b,VGK,D,31,0,82,same_team,yes
2022-23,Nathan Beaulieu,no,parayko c,STL,D,29,0,79,same_team,yes
2022-23,Nathan Beaulieu,no,seeler n,PHI,D,29,0,77,same_team,yes
2022-23,Nathan Beaulieu,no,demelo d,WPG,D,29,0,75,same_team,yes
2022-23,Daniel Sprong,yes,zacha p,BOS,C,25,0,82,same_team,yes
2022-23,Daniel Sprong,yes,mcdavid c,EDM,C,25,0,82,same_team,yes
2022-23,Daniel Sprong,yes,debrincat a,OTT,R,25,0,82,moved,yes
2022-23,Jimmy Vesey,yes,gaudreau f,MIN,C,29,0,82,same_team,yes
2022-23,Jimmy Vesey,yes,sissons c,NSH,C,29,0,82,same_team,yes
2022-23,Jimmy Vesey,yes,trocheck v,NYR,C,29,0,82,same_team,yes
2022-23,Zach Aston-Reese,no,wennberg a,SEA,C,28,0,82,same_team,yes
2022-23,Zach Aston-Reese,no,vatrano f,ANA,R,28,0,81,same_team,yes
2022-23,Zach Aston-Reese,no,athanasiou a,CHI,C,28,0,81,same_team,yes
2022-23,Derick Brassard,no,kopitar a,LAK,C,35,0,82,same_team,yes
2022-23,Derick Brassard,no,crosby s,PIT,C,35,0,82,same_team,yes
2022-23,Derick Brassard,no,kessel p,VGK,R,35,0,82,out,no
2022-23,Anton Stralman,no,edler a,LAK,D,36,0,64,out,no
2022-23,Anton Stralman,no,burns b,CAR,D,37,1,82,same_team,yes
2022-23,Anton Stralman,no,suter r,DAL,D,37,1,82,same_team,yes
2022-23,Derek Stepan,no,kadri n,CGY,C,32,0,82,same_team,yes
2022-23,Derek Stepan,no,tatar t,NJD,L,32,0,82,moved,yes
