season,team,opener_date
2018-19,ANA,2018-10-03
2018-19,BOS,2018-10-03
2018-19,BUF,2018-10-04
2018-19,CGY,2018-10-03
2018-19,CAR,2018-10-04
2018-19,CHI,2018-10-04
2018-19,COL,2018-10-04
2018-19,CBJ,2018-10-04
2018-19,DAL,2018-10-04
2018-19,DET,2018-10-04
2018-19,EDM,2018-10-06
2018-19,FLA,2018-10-06
2018-19,LAK,2018-10-05
2018-19,MIN,2018-10-04
2018-19,MTL,2018-10-03
2018-19,NSH,2018-10-04
2018-19,NJD,2018-10-06
2018-19,NYI,2018-10-04
2018-19,NYR,2018-10-04
2018-19,OTT,2018-10-04
2018-19,PHI,2018-10-04
2018-19,PIT,2018-10-04
2018-19,SJS,2018-10-03
2018-19,STL,2018-10-04
2018-19,TBL,2018-10-06
2018-19,TOR,2018-10-03
2018-19,VAN,2018-10-03
2018-19,VGK,2018-10-04
2018-19,WSH,2018-10-03
2018-19,WPG,2018-10-04
2018-19,ARI,2018-10-04
2019-20,ANA,2019-10-03
2019-20,BOS,2019-10-03
2019-20,BUF,2019-10-03
2019-20,CGY,2019-10-03
2019-20,CAR,2019-10-03
2019-20,CHI,2019-10-04
2019-20,COL,2019-10-03
2019-20,CBJ,2019-10-04
2019-20,DAL,2019-10-03
2019-20,DET,2019-10-05
2019-20,EDM,2019-10-02
2019-20,FLA,2019-10-03
2019-20,LAK,2019-10-05
2019-20,MIN,2019-10-03
2019-20,MTL,2019-10-03
2019-20,NSH,2019-10-03
2019-20,NJD,2019-10-04
2019-20,NYI,2019-10-04
2019-20,NYR,2019-10-03
2019-20,OTT,2019-10-02
2019-20,PHI,2019-10-04
2019-20,PIT,2019-10-03
2019-20,SJS,2019-10-02
2019-20,STL,2019-10-02
2019-20,TBL,2019-10-03
2019-20,TOR,2019-10-02
2019-20,VAN,2019-10-02
2019-20,VGK,2019-10-02
2019-20,WSH,2019-10-02
2019-20,WPG,2019-10-03
2019-20,ARI,2019-10-03
2020-21,ANA,2021-01-14
2020-21,BOS,2021-01-14
2020-21,BUF,2021-01-14
2020-21,CGY,2021-01-14
2020-21,CAR,2021-01-14
2020-21,CHI,2021-01-13
2020-21,COL,2021-01-13
2020-21,CBJ,2021-01-14
2020-21,DAL,2021-01-22
2020-21,DET,2021-01-14
2020-21,EDM,2021-01-13
2020-21,FLA,2021-01-17
2020-21,LAK,2021-01-14
2020-21,MIN,2021-01-14
2020-21,MTL,2021-01-13
2020-21,NSH,2021-01-14
2020-21,NJD,2021-01-14
2020-21,NYI,2021-01-14
2020-21,NYR,2021-01-14
2020-21,OTT,2021-01-15
2020-21,PHI,2021-01-13
2020-21,PIT,2021-01-13
2020-21,SJS,2021-01-14
2020-21,STL,2021-01-13
2020-21,TBL,2021-01-13
2020-21,TOR,2021-01-13
2020-21,VAN,2021-01-13
2020-21,VGK,2021-01-14
2020-21,WSH,2021-01-14
2020-21,WPG,2021-01-14
2020-21,ARI,2021-01-14
2021-22,ANA,2021-10-13
2021-22,BOS,2021-10-16
2021-22,BUF,2021-10-14
2021-22,CGY,2021-10-16
2021-22,CAR,2021-10-14
2021-22,CHI,2021-10-13
2021-22,COL,2021-10-13
2021-22,CBJ,2021-10-14
2021-22,DAL,2021-10-14
2021-22,DET,2021-10-14
2021-22,EDM,2021-10-13
2021-22,FLA,2021-10-14
2021-22,LAK,2021-10-14
2021-22,MIN,2021-10-15
2021-22,MTL,2021-10-13
2021-22,NSH,2021-10-14
2021-22,NJD,2021-10-15
2021-22,NYI,2021-10-14
2021-22,NYR,2021-10-13
2021-22,OTT,2021-10-14
2021-22,PHI,2021-10-15
2021-22,PIT,2021-10-12
2021-22,SJS,2021-10-16
2021-22,STL,2021-10-16
2021-22,TBL,2021-10-12
2021-22,TOR,2021-10-13
2021-22,VAN,2021-10-13
2021-22,VGK,2021-10-12
2021-22,WSH,2021-10-13
2021-22,WPG,2021-10-13
2021-22,ARI,2021-10-14
2021-22,SEA,2021-10-12
2022-23,ANA,2022-10-12
2022-23,BOS,2022-10-12
2022-23,BUF,2022-10-13
2022-23,CGY,2022-10-13
2022-23,CAR,2022-10-12
2022-23,CHI,2022-10-12
2022-23,COL,2022-10-12
2022-23,CBJ,2022-10-12
2022-23,DAL,2022-10-13
2022-23,DET,2022-10-14
2022-23,EDM,2022-10-12
2022-23,FLA,2022-10-13
2022-23,LAK,2022-10-11
2022-23,MIN,2022-10-13
2022-23,MTL,2022-10-12
