season,player,sign_team,position,sign_age,sign_date,level,sign_status,structure,tracker_confirmed,window_class,played_for_club,one_year_state,one_year_team,back_on_pto,notes,first_five_cutoff,made_roster,survived
2018-19,Luca Sbisa,NYI,D,28,2018-09-24,STD,UFA,1-Way,,convert,yes,out,,,,2018-10-28,yes,no
2018-19,Mark Letestu,CBJ,C,33,2018-09-27,STD,UFA,2-Way,,convert,yes,,,,,2018-10-27,no,
2018-19,Alex Chiasson,EDM,RW,27,2018-10-02,STD,UFA,1-Way,,convert,yes,same_team,EDM,,known EDM tryout convert,2018-10-28,yes,yes
2018-19,Drew Stafford,NJD,RW,32,2018-10-05,STD,UFA,1-Way,,convert,yes,out,,,,2018-11-01,yes,no
2019-20,Ben Hutton,LAK,D,26,2019-09-17,STD,UFA No QO,1-Way,,convert,yes,moved,ANA,,ADDED by widened window; verify tryout status,2019-10-24,yes,yes
2019-20,Fredrik Claesson,CAR,D,26,2019-09-17,STD,UFA No QO,2-Way,,convert,no,,,,ADDED by widened window; verify tryout status,2019-10-24,no,
2019-20,Alexander Petrovic,BOS,D,27,2019-09-26,STD,UFA,2-Way,,convert,no,,,,,2019-10-26,no,
2019-20,Scott Sabourin,OTT,RW,27,2019-09-27,STD,UFA,2-Way,,convert,yes,out,,,,2019-10-25,yes,no
2019-20,Tobias Rieder,CGY,C,26,2019-09-28,STD,UFA No QO,2-Way,,convert,yes,moved,BUF,,,2019-10-20,yes,yes
2019-20,Zac Rinaldo,CGY,C,29,2019-09-29,STD,UFA,2-Way,,convert,yes,,,,,2019-10-20,no,
2019-20,Micheal Haley,NYR,C,33,2019-09-30,STD,UFA,2-Way,,convert,yes,moved,OTT,,,2019-10-29,yes,yes
2020-21,Riley Sheahan,BUF,C,29,2021-01-08,STD,UFA,1-Way,yes,convert,yes,moved,SEA,,PTO BUF; NHL.com tracker confirms signing,2021-01-31,yes,yes
2020-21,Michael Del Zotto,CBJ,D,30,2021-01-10,STD,UFA,2-Way,yes,convert,yes,moved,OTT,,PTO CBJ; tracker notes 1yr 2-way Jan 10,2021-01-31,yes,yes
2020-21,Frederik Gauthier,ARI,C,25,2021-01-11,STD,UFA No QO,2-Way,yes,convert,yes,,,,PTO ARI; tracker notes 1yr 2-way Jan 11,2021-02-04,no,
2020-21,Mike Hoffman,STL,LW,30,2021-01-11,STD,UFA,1-Way,yes,convert,yes,moved,MTL,,PTO STL; tracker notes 1yr Jan 11,2021-02-02,yes,yes
2020-21,Travis Hamonic,VAN,D,30,2021-01-12,STD,UFA,1-Way,yes,convert,yes,same_team,VAN,,PTO VAN,2021-01-28,yes,yes
2020-21,Craig Anderson,WSH,G,39,2021-01-13,STD,UFA,1-Way,yes,convert,yes,,,,PTO WSH; dedupe - appears twice in export,2021-02-01,no,
2020-21,Devin Shore,EDM,C,26,2021-01-13,STD,UFA No QO,2-Way,yes,convert,yes,same_team,EDM,,PTO EDM,2021-01-30,yes,yes
2020-21,Kevin Connauton,FLA,D,30,2021-01-13,STD,UFA,2-Way,yes,convert,yes,,,,PTO FLA,2021-02-09,no,
2020-21,Trevor Lewis,WPG,C,34,2021-01-13,STD,UFA,1-Way,yes,convert,yes,moved,CGY,,PTO WPG,2021-02-02,yes,yes
2020-21,Brett Ritchie,CGY,RW,27,2021-01-17,STD,UFA No QO,2-Way,yes,late,yes,,,,PTO CGY; check vs CGY opener,2021-02-04,no,
2020-21,Michael Stone,CGY,D,30,2021-01-18,STD,UFA,2-Way,yes,late,yes,,,,PTO CGY; check vs CGY opener,2021-02-04,no,
2021-22,Max McCormick,SEA,LW,29,2021-09-29,STD,UFA,2-Way,,convert,yes,out,,,,2021-11-01,yes,no
2021-22,J-F Berube,CBJ,G,30,2021-09-30,STD,UFA,2-Way,yes,convert,yes,,,,HFBoards confirmed,2021-11-06,no,
2021-22,Alex Galchenyuk,ARI,C,27,2021-10-05,STD,UFA,1-Way,yes,convert,yes,,,,HFBoards confirmed,2021-11-02,no,
2021-22,Tyler Ennis,OTT,RW,32,2021-10-07,STD,UFA,1-Way,yes,convert,yes,out,,,HFBoards confirmed,2021-11-04,yes,no
2021-22,Frederik Gauthier,NJD,C,26,2021-10-09,STD,UFA No QO,2-Way,yes,convert,yes,out,,,HFBoards confirmed,2021-11-06,yes,no
2021-22,James Neal,STL,LW,34,2021-10-09,STD,UFA,1-Way,yes,convert,yes,out,,,HFBoards confirmed; repeat see 2022-23 CBJ tryout list,2021-11-07,yes,no
2021-22,Jack Johnson,COL,D,34,2021-10-10,STD,UFA,1-Way,yes,convert,yes,moved,CHI,,HFBoards confirmed,2021-11-06,yes,yes
2021-22,Jimmy Vesey,NJD,LW,28,2021-10-10,STD,UFA,1-Way,yes,convert,yes,moved,NYR,,HFBoards confirmed; repeat see 2022-23 NYR,2021-11-06,yes,yes
2021-22,Alex Chiasson,VAN,RW,31,2021-10-12,STD,UFA,1-Way,,convert,yes,out,,,repeat see 2018-19 EDM,2021-11-02,yes,no
2021-22,Brian Boyle,PIT,C,36,2021-10-12,STD,UFA,1-Way,yes,convert,yes,out,,,HFBoards confirmed; repeat see 2019-20 FLA,2021-11-06,yes,no
2021-22,Colton Sceviour,EDM,C,32,2021-10-13,STD,UFA,2-Way,yes,convert,yes,out,,,HFBoards confirmed,2021-11-05,yes,no
2022-23,Brett Ritchie,CGY,RW,29,2022-09-21,STD,UFA,1-Way,,convert,yes,out,,,ADDED by widened window; previously dropped as early-camp; verify,2022-11-05,yes,no
2022-23,Cory Schneider,NYI,G,36,2022-09-21,STD,UFA,2-Way,,convert,no,,,,ADDED by widened window; previously dropped as early-camp; verify,2022-11-01,no,
2022-23,Nikita Soshnikov,NYI,RW,28,2022-09-21,STD,UFA No QO,1-Way,,convert,yes,out,,,ADDED by widened window; previously dropped as early-camp; verify,2022-11-01,yes,no
2022-23,Scott Harrington,SJS,D,29,2022-09-30,STD,UFA,2-Way,yes,convert,yes,out,,,,2022-10-27,yes,no
2022-23,Calvin de Haan,CAR,D,31,2022-10-01,STD,UFA,1-Way,yes,convert,yes,moved,TBL,,AUDIT Waddell CAR at the time - correct,2022-11-03,yes,yes
2022-23,Nathan Beaulieu,ANA,D,29,2022-10-01,STD,UFA,1-Way,yes,convert,yes,out,,,,2022-11-01,yes,no
2022-23,Daniel Sprong,SEA,LW,25,2022-10-03,STD,UFA No QO,2-Way,yes,convert,yes,moved,DET,,,2022-10-29,yes,yes
2022-23,Jimmy Vesey,NYR,LW,29,2022-10-09,STD,UFA,1-Way,yes,convert,yes,same_team,NYR,,repeat see 2021-22 NJD,2022-10-30,yes,yes
